충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
북강릉농협연곡하나로마트,강원특별자치도 강릉시 연곡면 진고개로 2742 ,상업시설,마트(쇼핑몰),ME19D224,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:03,2023-10-30 12:16,2023-10-30 12:24,,0,0,23,543.88,136,3085.8,165,3780.88,170,4158.28,133,3566.08,192,5047.68,170,4595.04,249,6357.12
북강릉농협연곡하나로마트,강원특별자치도 강릉시 연곡면 진고개로 2742 ,상업시설,마트(쇼핑몰),ME19D224,2,DC콤보,급속(100kW단독),단독,점검중,2023-10-11 15:08,2023-10-11 15:05,2023-10-11 15:08,,224,5689.52,142,3477.76,94,2546.16,106,2750.72,128,2768.28,133,3470.68,215,5144.88,218,5284.6,4,74.04
왕산면사무소,강원특별자치도 강릉시 왕산면 백두대간로 1997 ,공공시설,주민센터,ME19D225,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-30 10:34,2023-10-30 11:09,,16,465.76,8,119.32,49,927.88,35,735.24,20,504.08,14,334.08,26,642.92,32,734.64,13,274.04
왕산면사무소,강원특별자치도 강릉시 왕산면 백두대간로 1997 ,공공시설,주민센터,ME19D225,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-27 18:55,2023-10-27 19:08,,9,119.16,33,496.64,30,665.16,26,723.44,9,229.84,9,239.6,18,435.68,9,142.84,14,348.12
한국폴리텍대학 강릉캠퍼스,강원특별자치도 강릉시 남산초교길 121 ,교육문화시설,학교,ME19F206,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:38,2023-10-20 7:12,2023-10-20 7:39,,35,929.03,31,686.5,37,991.7,36,839.42,31,724.72,45,1285.04,49,1456.97,37,1068.81,14,372.94
한국폴리텍대학 강릉캠퍼스,강원특별자치도 강릉시 남산초교길 121 ,교육문화시설,학교,ME19F206,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:48,2023-10-28 18:00,2023-10-28 18:28,,39,513.26,31,467.4,30,494.99,35,651.04,40,752.51,36,774.69,27,624.66,26,756.36,32,832.21
경포번영회 공영주차장,강원특별자치도 강릉시 안현동  868-6,기타시설,기타,ME19X447,41,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-29 19:03,2023-10-29 19:43,,184,4004.2,145,3411.86,176,4474.31,139,3223.8,85,1820.83,94,2008.28,99,2351.24,111,3011.14,126,3039.21
경포번영회 공영주차장,강원특별자치도 강릉시 안현동  868-6,기타시설,기타,ME19X447,42,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:05,2023-10-30 11:19,2023-10-30 11:55,2023-10-30 15:05,96,2189.04,105,2213.34,102,2367.53,120,2851.38,127,2564.76,125,2536.78,135,3324.93,132,3738.5,43,1192.61
경포번영회 공영주차장,강원특별자치도 강릉시 안현동  868-6,기타시설,기타,ME19X447,43,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:10,2023-10-29 15:28,2023-10-29 15:52,,132,3197.55,125,3081.49,123,3370.02,77,1879.34,68,1241.14,79,1508.84,115,2790.03,121,3498.9,87,2236.52
경포번영회 공영주차장,강원특별자치도 강릉시 안현동  868-6,기타시설,기타,ME19X447,44,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:03,2023-10-29 22:07,2023-10-29 22:26,,122,2951.32,25,538.53,83,1934.93,130,3515.12,148,3041.09,155,3096.38,145,4031.2,140,4048.72,110,3049.39
경포번영회 공영주차장,강원특별자치도 강릉시 안현동  868-6,기타시설,기타,ME19X447,45,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:03,2023-10-27 19:10,2023-10-27 19:24,,77,1634.67,24,521.38,84,2108.98,73,1848.59,84,1752.18,104,2079.67,106,2587.39,108,2951.35,84,1867.98
강릉시청,강원특별자치도 강릉시 홍제동 강릉대로 33 ,공공시설,관공서,ME19Y201,21,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:05,2023-10-30 14:03,2023-10-30 14:43,2023-10-30 14:45,138,3096.04,0,0,70,1430.72,127,2445.16,115,2718.24,112,2504.76,86,2014.12,180,3941,145,3369.96
강릉시청,강원특별자치도 강릉시 홍제동 강릉대로 33 ,공공시설,관공서,ME19Y201,22,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:06,2023-10-30 13:45,2023-10-30 14:07,2023-10-30 14:36,187,4232.24,0,0,75,1848.92,156,3495.2,142,3452.04,139,3327.64,143,3151.44,168,3284.64,151,2944.64
대관령자연휴양림,강원특별자치도 강릉시 성산면 삼포암길133 ,관광시설,관광지,ME20A101,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:04,2023-10-29 15:13,2023-10-29 15:48,,21,518.66,30,751.27,7,212.38,12,330.6,25,491.75,43,841.51,15,322.84,80,1903.88,52,1213.91
법무부 춘천보호관찰소 강릉지소,강원특별자치도 강릉시 화부산로40번길 47 ,공공시설,관공서,ME20A102,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-30 13:45,2023-10-30 14:13,,114,2288.9,115,2575.6,118,2650.84,75,2080.25,70,1965.51,85,2449.32,63,1667.7,106,2101.24,93,1771.24
강릉홍제공영주차장,강원특별자치도 강릉시 홍제동 101 ,주차시설,공영주차장,ME20A201,21,DC콤보,급속(200kW동시),동시,통신이상,2023-10-30 15:05,2023-10-30 14:12,2023-10-30 14:52,2023-10-30 14:55,52,407.61,85,1772.8,28,434.64,11,166.71,68,1550.81,84,1928.5,93,1906.75,65,1653.45,62,1447.33
강릉홍제공영주차장,강원특별자치도 강릉시 홍제동 101 ,주차시설,공영주차장,ME20A201,22,DC콤보,급속(200kW동시),동시,통신이상,2023-10-30 15:04,2023-10-30 1:28,2023-10-30 1:46,,81,589.82,122,3202.97,39,1052.76,15,379.8,99,2848.07,142,4573.31,157,4725.69,144,4518.98,115,3595.1
포남2동주민센터,강원특별자치도 강릉시 하평2길 29 ,공공시설,주민센터,ME21A108,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:03,2023-10-30 13:22,2023-10-30 14:02,,160,3984.82,108,2785.58,94,2888.89,99,2465.86,112,3131.4,112,3203.11,161,4437.42,145,4330.81,129,3505.1
한국농어촌공사 강릉지사 주차장,강원특별자치도 강릉시 사천면 봉화길 63 ,공공시설,관공서,ME21A133,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:54,2023-10-30 10:37,2023-10-30 10:50,,59,1348.29,45,1059.29,73,1844.38,55,1453.02,67,1823.91,48,1321.95,57,1766.27,62,1802.84,47,1207.36
강원도강릉교육지원청 주차장,강원특별자치도 강릉시 노암등길 39 ,주차시설,일반주차장,ME21B165,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:46,2023-10-30 12:04,2023-10-30 12:44,,84,1914.83,75,1967.29,49,1382.32,61,1441.79,62,1556.57,66,1657.56,74,2052.61,97,2535.73,103,2650.8
오죽헌/시립박물관 주차장,강원특별자치도 강릉시 율곡로3139번길 24 ,관광시설,박물관,ME21C253,21,DC콤보,급속(200kW동시),동시,충전중,2023-10-30 15:06,2023-10-30 10:50,2023-10-30 11:22,2023-10-30 14:53,132,3594.41,132,3202.84,120,2646.12,113,2880.54,132,3058.24,100,2508.28,145,4032.41,163,3971.57,123,3224.05
오죽헌/시립박물관 주차장,강원특별자치도 강릉시 율곡로3139번길 24 ,관광시설,박물관,ME21C253,22,DC콤보,급속(200kW동시),동시,충전중,2023-10-30 15:06,2023-10-30 12:00,2023-10-30 12:36,2023-10-30 15:04,123,3029.69,112,2976.65,116,3259.61,108,2913.82,100,3252.11,103,3033.39,126,4091.46,140,4075.32,111,2767.78
주문진실내체육관,강원특별자치도 강릉시 주문진읍 교항리 48-173 ,기타시설,기타,ME22C224,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:41,2023-10-30 9:27,2023-10-30 10:07,,0,0,0,0,0,0,0,0,0,0,0,0,3,5.86,0,0,0,0
주문진실내체육관,강원특별자치도 강릉시 주문진읍 교항리 48-173 ,기타시설,기타,ME22C224,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:49,2023-10-29 5:09,2023-10-29 5:49,,0,0,0,0,0,0,0,0,0,0,0,0,3,9.17,0,0,0,0
