설치년도,시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 사천면 석교리 972-2,강릉 모래내 행복센터,공공시설,주민센터,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.8266773706137,128.848723178"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 남항진동 산 7-7,제2정문 주차장,주차시설,일반주차장,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7630609,128.9546724"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 남항진동 산 7-7,제2정문 주차장,주차시설,일반주차장,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7630609,128.9546724"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 연곡면 진고개로 2742,북강릉농협연곡하나로마트,상업시설,마트(쇼핑몰),급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.8588675,128.8384105"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 연곡면 진고개로 2742,북강릉농협연곡하나로마트,상업시설,마트(쇼핑몰),급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.8588675,128.8384105"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 왕산면 백두대간로 1997,왕산면사무소,공공시설,주민센터,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.67239958,128.83820487"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 왕산면 백두대간로 1997,왕산면사무소,공공시설,주민센터,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.67239958,128.83820487"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 남산초교길 121,한국폴리텍대학 강릉캠퍼스,교육문화시설,학교,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7381405,128.8902497"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 남산초교길 121,한국폴리텍대학 강릉캠퍼스,교육문화시설,학교,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7381405,128.8902497"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 안현동 ,경포번영회 공영주차장,기타시설,기타,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.802255,128.902992"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 안현동 ,경포번영회 공영주차장,기타시설,기타,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.802255,128.902992"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 안현동 ,경포번영회 공영주차장,기타시설,기타,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.802255,128.902992"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 안현동 ,경포번영회 공영주차장,기타시설,기타,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.802255,128.902992"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 안현동 ,경포번영회 공영주차장,기타시설,기타,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.802255,128.902992"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 홍제동 강릉대로 33,강릉시청,공공시설,관공서,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.751572,128.876439"
2019,강원특별자치도,강릉시,강원특별자치도 강릉시 홍제동 강릉대로 33,강릉시청,공공시설,관공서,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.751572,128.876439"
2020,강원특별자치도,강릉시,강원특별자치도 강릉시 성산면 삼포암길133,대관령자연휴양림,관광시설,관광지,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7152205,128.7867131"
2020,강원특별자치도,강릉시,강원특별자치도 강릉시 화부산로40번길 47,법무부 춘천보호관찰소 강릉지소,공공시설,관공서,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7611364,128.8905538"
2020,강원특별자치도,강릉시,강원특별자치도 강릉시 홍제동 101,강릉홍제공영주차장,주차시설,공영주차장,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,"37.74866406,128.88296558"
2020,강원특별자치도,강릉시,강원특별자치도 강릉시 홍제동 101,강릉홍제공영주차장,주차시설,공영주차장,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,"37.74866406,128.88296558"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 하평2길 29,포남2동주민센터,공공시설,주민센터,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7724482,128.9132185"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 사천면 봉화길 63,한국농어촌공사 강릉지사 주차장,공공시설,관공서,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.819159,128.8526523"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 노암등길 39,강원도강릉교육지원청 주차장,주차시설,일반주차장,급속,급속(100kW단독),환경부,환경부(협회),급속(100kW단독),DC콤보,이용가능,"37.7453067,128.9003305"
2021,강원특별자치도,강릉시,강원특별자치도 강릉시 율곡로3139번길 24,오죽헌/시립박물관 주차장,관광시설,박물관,급속,급속(200kW동시),환경부,환경부(협회),급속(200kW동시),DC콤보,이용가능,"37.779121,128.880768"
